CLIENTE,ORDEN DE PIORIDAD,CONTACTADO (SI/NO),RESPUESTA SI/NO,ESTADO,LICITA (SI/NO),VIANDA/COMEDOR,PROVEEDOR ACTUAL,FECHA VOLVER A CONTACTAR,FECHA ULTIMO CONTACTO,CONTACTO PERSONAL,MAIL,CELULAR,nombre,CALENDARIZADO,COMENTARIOS,LOCALIDAD,DIRECCIÓN / REFERENCIA,FUENTE,OBSERVACIONES DEL RELEVAMIENTO,TIPO DE CORREO
SERVICIOS ER S.R.L.,,,,,,,,,,,,,,,,San Lorenzo,,,,
SERVICIOS ELECTRICOS MAYLA,,,,,,,,,,,info@maylasrl.com.ar,,,,,Rosario,,,,
SERVI RIO,,,,,,,,,,,sanlorenzo@servirio.com.ar,,,,,Aldao,,,,
SERVAL S.R.L.,,,,,,,,,,,,,,,,San Lorenzo,,,,
SEMAC CONSTRUCCIONES S.A.,,,,,,,,,,,obras@brayco.com.ar,,,,,San Lorenzo,,,,
SELECTA,,,,,,,,,,,bruno.gazze@selectaargentina.com,,,,,San Lorenzo,,,,
SEGURIDAD Y RESGUARDO S.R.L.,,,,,,,,,,,,,,,,San Lorenzo,,,,
SAVYC S.A.,,,,,,,,,,,gerencia@savycsa.com.ar,,,,,Rosario,,,,
SAURO CONSTRUCCIONES S.R.L.,,,,,,,,,,,hernanobras@hotmail.com,,,,,Rosario,,,,
SANIMAT PIÑEIRO,1,si,aceptada,arranca oct,no,,,,,,,3416138482,abbud turco (titualar),,,,,,,
Sacchi,,,,,,,,,,,info@sacchiweb.com.ar,,,,,Pérez,"Parque Industrial Metropolitano, Av. Las Palmeras 1452",https://pimetropolitano.com/empresas/,Dirección del parque; lote individual no publicado; tamaño a validar,Contacto general
S&D OBRAS Y SERVICIOS S.A.,,,,,,,,,,,carlosdestefanis@sdingenieria.com.ar,,,,,Rosario,"Parque Industrial Metropolitano, Av. Las Palmeras 1452",https://pimetropolitano.com/empresas/,Dirección del parque; lote individual no publicado; tamaño a validar,Comercial / compras
RV OBRAS Y SERVICIOS S.A.,,,,,,,,,,,rtorres@suelosyescorias.com,,,,,Alvear,"Parque Industrial Metropolitano, Av. Las Palmeras 1452",https://pimetropolitano.com/empresas/,Dirección del parque; lote individual no publicado; tamaño a validar,Contacto general
ROVIAL,1,NO,,,,,,,,,,,,,,,"Parque Industrial Metropolitano, Av. Las Palmeras 1452",https://pimetropolitano.com/empresas/,Dirección del parque; lote individual no publicado; tamaño a validar,Contacto general
Rosarpin,,,,,,,,,,,rosarpin@rosarpin.com.ar,,,,,Pérez,"Parque Industrial Metropolitano, Av. Las Palmeras 1452",https://pimetropolitano.com/empresas/,Dirección del parque; lote individual no publicado; tamaño a validar,Contacto general
RINAUDO CIA.CONSTRUCTORA S.R.L.,,,,,,,,,,,edgardo@rinaudoconstructora.com.ar,,,,,Rosario,"Av. Las Palmeras 1452, lote 57, Parque Industrial Metropolitano, Pérez",https://pimetropolitano.com/empresas/ | https://colvinil.com.ar/index.php?route=information%2Fcontact,Dirección del parque; lote individual no publicado; tamaño a validar; correo público verificado,Contacto general
RENTAL SUR,,,,,,,,,,,ale.rentalsur@gmail.com,,,,,San Lorenzo,"Parque Industrial Metropolitano, Av. Las Palmeras 1452",https://pimetropolitano.com/empresas/,Dirección del parque; lote individual no publicado; tamaño a validar,Contacto general
RENOVA electroluz,1,NO,,,,,,,,,,3498437598,,,,,"Av. Las Palmeras 1452, unidades 25, 28 y 34, Parque Industrial Metropolitano, Pérez",https://pimetropolitano.com/empresas/ | https://www.exposanjuan.com.ar/en/company/cormetal,Dirección del parque; lote individual no publicado; tamaño a validar; correo público verificado,Contacto general
RECAPADORA SAN LORENZO S.R.L.,,,,,,,,,,,,,,,,San Lorenzo,"Parque Industrial Metropolitano, Av. Las Palmeras 1452",https://pimetropolitano.com/empresas/,Dirección del parque; lote individual no publicado; tamaño a validar,Contacto general
rava,,NO,,,,,,,,,,,,,,,"Parque Industrial Metropolitano, Av. Las Palmeras 1452",https://pimetropolitano.com/empresas/,Dirección del parque; lote individual no publicado; tamaño a validar,Contacto general
RANDSTAD,,,,,,,,,,,info@randstad.com.ar,,,,,San Lorenzo,"Parque Industrial Metropolitano, Av. Las Palmeras 1452",https://pimetropolitano.com/empresas/,Dirección del parque; lote individual no publicado; tamaño a validar,Contacto general
RANDOM,1,NO,,avergiuar,NO,,,,,,maria.rodriguez@randon.com.ar,,,,COMEDOR,,"Parque Industrial Metropolitano, Av. Las Palmeras 1452",https://pimetropolitano.com/empresas/,Dirección del parque; lote individual no publicado; tamaño a validar,Comercial / compras
R. y R. SERVICIOS,,,,,,,,,,,administracion@ryrsrl.com,,,,,Ricardone,"Parque Industrial Metropolitano, Av. Las Palmeras 1452",https://pimetropolitano.com/empresas/,Dirección del parque; lote individual no publicado; tamaño a validar,Comercial / compras
QMS LATAM,,,,,,,,,,,qms@qmslatam.com,,,,,Rosario,"Parque Industrial Metropolitano, Av. Las Palmeras 1452",https://pimetropolitano.com/empresas/,Dirección del parque; lote individual no publicado; tamaño a validar,Comercial / compras
Puerto ADM S.R.L,1,NO,,,SI,VIANDA,,,,,,34022514264,ANDRES,,VIANDAS,,"Parque Industrial Metropolitano, Av. Las Palmeras 1452",https://pimetropolitano.com/empresas/,Dirección del parque; lote individual no publicado; tamaño a validar,Contacto general
PROYECCIÓN ELECTROLUZ S.R.L.,,,,,,,,,,,,,,,,San Lorenzo,"Parque Industrial Metropolitano, Av. Las Palmeras 1452",https://pimetropolitano.com/empresas/,Dirección del parque; lote individual no publicado; tamaño a validar,Contacto general
PROSEGUR,1,NO,,,,,,,,,,3412826157,,,VIANDAS,,"Parque Industrial Metropolitano, Av. Las Palmeras 1452",https://pimetropolitano.com/empresas/,Dirección del parque; lote individual no publicado; tamaño a validar,Contacto general
PROFERTIL,,,,,,,,,,,profertil@profertil.com.ar,,,,,Puerto General San Martín,"Parque Industrial Metropolitano, Av. Las Palmeras 1452",https://pimetropolitano.com/empresas/,Dirección del parque; lote individual no publicado; tamaño a validar,Contacto general
Prodinsa Argentina S.A.,,,,,,,,,,,info@prodinsa.com.ar,,,,,Piñero,"Parque Industrial Metropolitano, Av. Las Palmeras 1452",https://pimetropolitano.com/empresas/,Dirección del parque; lote individual no publicado; tamaño a validar,Contacto general
PROAS S.R.L.,,,,,,,,,,,administracion@proassrl.com.ar,,,,,Rosario,"Parque Industrial Metropolitano, Av. Las Palmeras 1452",https://pimetropolitano.com/empresas/,Dirección del parque; lote individual no publicado; tamaño a validar,Contacto general
Proagro,,,,,,,,,,,info@proagrolab.com.ar,,,,,Pérez,"Parque Industrial Metropolitano, Av. Las Palmeras 1452",https://pimetropolitano.com/empresas/,Dirección del parque; lote individual no publicado; tamaño a validar,Comercial / compras
PRO GLOBAL,1,NO,,avergiuar,NO,,,,,,rosario.rrhh@proglobal.com,,,,COMEDOR,,"Av. Las Palmeras 1452, lotes 54–55, Parque Industrial Metropolitano, Pérez",https://pimetropolitano.com/empresas/ | https://voran.com.ar/pages/politicas-de-privacidad,Dirección del parque; lote individual no publicado; tamaño a validar; correo público verificado,Contacto general
PRETENSADOS LITORAL S.A.S.,,,,,,,,,,,,,,,,San Lorenzo,"Parque Industrial Metropolitano, Av. Las Palmeras 1452",https://pimetropolitano.com/empresas/,Dirección del parque; lote individual no publicado; tamaño a validar,Contacto general
PRAT CONSTRUCCIONES S.A.,,,,,,,,,,,nacho_ra@hotmail.com,,,,,Rosario,"Parque Industrial Metropolitano, Av. Las Palmeras 1452",https://pimetropolitano.com/empresas/,Dirección del parque; lote individual no publicado; tamaño a validar,Contacto general
POSE S.A.,,,,,,,,,,,licitaciones.posesa@gmail.com,,,,,Rosario,"Parque Industrial Metropolitano, Av. Las Palmeras 1452",https://pimetropolitano.com/empresas/,Dirección del parque; lote individual no publicado; tamaño a validar,Contacto general
POLEAS MIOR,,,,,,,,,,,info@poleasmior.com.ar,,,,,San Lorenzo,"Parque Industrial Metropolitano, Av. Las Palmeras 1452",https://pimetropolitano.com/empresas/,Dirección del parque; lote individual no publicado; tamaño a validar,Comercial / compras
PLANARCO S.R.L.,,,,,,,,,,,mmartinovic@planarco.com.ar,,,,,Rosario,"Parque Industrial Metropolitano, Av. Las Palmeras 1452",https://pimetropolitano.com/empresas/,Dirección del parque; lote individual no publicado; tamaño a validar,Comercial / compras
Pinturas San Agustin,,,,,,,,,,,sucursalrosario@gruposanagustin.com.ar,,,,,Pérez,"Parque Industrial Metropolitano, Av. Las Palmeras 1452",https://pimetropolitano.com/empresas/,Dirección del parque; lote individual no publicado; tamaño a validar,Contacto general
PINTAR,,,,,,,,,,,info@pintarsrl.com.ar,,,,,San Lorenzo,"Parque Industrial Metropolitano, Av. Las Palmeras 1452",https://pimetropolitano.com/empresas/,Dirección del parque; lote individual no publicado; tamaño a validar,Contacto general
PILAR CONSTRUCCIONES S.R.L.,,,,,,,,,,,pilarconstruccionessrl@hotmail.com,,,,,Rosario,"Parque Industrial Metropolitano, Av. Las Palmeras 1452",https://pimetropolitano.com/empresas/,Dirección del parque; lote individual no publicado; tamaño a validar,Contacto general
PH CONSTRUCTORA S.R.L.,,,,,,,,,,,phconstructorasrl@gmail.com,,,,,Rosario,"Parque Industrial Metropolitano, Av. Las Palmeras 1452",https://pimetropolitano.com/empresas/,Dirección del parque; lote individual no publicado; tamaño a validar,Contacto general
PESAR S.R.L.,,,,,,,,,,,,,,,,San Lorenzo,"Parque Industrial Metropolitano, Av. Las Palmeras 1452",https://pimetropolitano.com/empresas/,Dirección del parque; lote individual no publicado; tamaño a validar,Comercial / compras
PELLEGRINI MONTAJES S.R.L.,,,,,,,,,,,pellegrinimontajes@fibertel.com.ar,,,,,Rosario,"Parque Industrial Metropolitano, Av. Las Palmeras 1452",https://pimetropolitano.com/empresas/,Dirección del parque; lote individual no publicado; tamaño a validar,Sin correo público
PEITEL S.A.,,,,,,,,,,,recepcion@peitel.com.ar,,,,,San Lorenzo,"Parque Industrial Metropolitano, Av. Las Palmeras 1452",https://pimetropolitano.com/empresas/,Dirección del parque; lote individual no publicado; tamaño a validar,Contacto general
PECAM PIÑEIRO,1,si,sin respuesta,,,,,,,,,,,,,,"Parque Industrial Metropolitano, Av. Las Palmeras 1452",https://pimetropolitano.com/empresas/,Dirección del parque; lote individual no publicado; tamaño a validar,Contacto general
PATRICELLI PABLO S.A.,,,,,,,,,,,,,,,,San Lorenzo,"Parque Industrial San Lorenzo, RP 25 y Autopista Rosario–Santa Fe (lote no publicado)",https://pisanlorenzo.com/empresas,Parque: instalada o en proceso de radicación; confirmar estado y lote,Sin correo público
PATAGONIA BIOENERGÍA,,,,,,,,,,,info@patagoniabioenergia.com.ar,,,,,Rosario,"Parque Industrial San Lorenzo, RP 25 y Autopista Rosario–Santa Fe (lote no publicado)",https://pisanlorenzo.com/empresas,Parque: instalada o en proceso de radicación; confirmar estado y lote,Sin correo público
PALCON,,,,,,,,,,,info@palcon.com.ar,,,,,San Lorenzo,"Parque Industrial San Lorenzo, RP 25 y Autopista Rosario–Santa Fe (lote no publicado)",https://pisanlorenzo.com/empresas,Parque: instalada o en proceso de radicación; confirmar estado y lote,Sin correo público
P.G.S. S.A.,,,,,,,,,,,hdacunto@pgssa.com.ar,,,,,Rosario,"Parque Industrial San Lorenzo, RP 25 y Autopista Rosario–Santa Fe (lote no publicado)",https://pisanlorenzo.com/empresas,Parque: instalada o en proceso de radicación; confirmar estado y lote,Sin correo público
Otaño Hermanos,,,,,,,,,,,recepcion@otanohnos.com.ar,,,,,Pérez,"Parque Industrial San Lorenzo, RP 25 y Autopista Rosario–Santa Fe (lote no publicado)",https://pisanlorenzo.com/empresas,Parque: instalada o en proceso de radicación; confirmar estado y lote,Sin correo público
OSVALDO LUIS SANTILLI E HIJOS S.A.C.F.A.,,,,,,,,,,,,,,,,San Lorenzo,"Parque Industrial San Lorenzo, RP 25 y Autopista Rosario–Santa Fe (lote no publicado)",https://pisanlorenzo.com/empresas,Parque: instalada o en proceso de radicación; confirmar estado y lote,Sin correo público
Olympic San Luis SA,,,,,,,,,,,ventas@olympicsanluis.com.ar,,,,,Pérez,"Parque Industrial San Lorenzo, RP 25 y Autopista Rosario–Santa Fe (lote no publicado)",https://pisanlorenzo.com/empresas,Parque: instalada o en proceso de radicación; confirmar estado y lote,Sin correo público
OLIMAR,,,,,,,,,,,olimar_sanlorenzo@yahoo.com.ar,,,,,San Lorenzo,"Parque Industrial San Lorenzo, RP 25 y Autopista Rosario–Santa Fe (lote no publicado)",https://pisanlorenzo.com/empresas,Parque: instalada o en proceso de radicación; confirmar estado y lote,Sin correo público
OLEXGLOBAL S.A.,,,,,,,,,,,,,,,,San Lorenzo,"Parque Industrial San Lorenzo, RP 25 y Autopista Rosario–Santa Fe (lote no publicado)",https://pisanlorenzo.com/empresas,Parque: instalada o en proceso de radicación; confirmar estado y lote,Sin correo público
OLEOHIDRAULICA MARWAL,,,,,,,,,,,,,,,,San Lorenzo,CORDOBA 3627,https://www.santafe.gob.ar/index.php/web/content/download/278857/1446192/file/PADRON%20EMPRESAS%20SANTAFESINAS.pdf,Domicilio declarado en padrón provincial (abril 2026),Contacto general
OIL CONTROL S.A.,,,,,,,,,,,info@oilcontrol.com.ar,,,,,San Lorenzo,"Parque Industrial San Lorenzo, RP 25 y Autopista Rosario–Santa Fe (lote no publicado)",https://pisanlorenzo.com/empresas,Parque: instalada o en proceso de radicación; confirmar estado y lote,Sin correo público
OBRING AEROPUERTO,1,NO,,,,,,,,,,,,,,,"Parque Industrial San Lorenzo, RP 25 y Autopista Rosario–Santa Fe (lote no publicado)",https://pisanlorenzo.com/empresas,Parque: instalada o en proceso de radicación; confirmar estado y lote,Sin correo público
OBRING ,1,NO,,NECESITAMOS UNA REUNION PRESENCIAL,,,,,,,,,,,,,"Parque Industrial San Lorenzo, RP 25 y Autopista Rosario–Santa Fe (lote no publicado)",https://pisanlorenzo.com/empresas,Parque: instalada o en proceso de radicación; confirmar estado y lote,Sin correo público
NUEVO VICENTIN ARGENTINA,,,,,,,,,,,,,,,,San Lorenzo,"Parque Industrial San Lorenzo, RP 25 y Autopista Rosario–Santa Fe (lote no publicado)",https://pisanlorenzo.com/empresas,Parque: instalada o en proceso de radicación; confirmar estado y lote,Sin correo público
NOURYON,,,,,,,,,,,info@nouryon.com,,,,,San Lorenzo,"Parque Industrial San Lorenzo, RP 25 y Autopista Rosario–Santa Fe (lote no publicado)",https://pisanlorenzo.com/empresas,Parque: instalada o en proceso de radicación; confirmar estado y lote,Sin correo público
NN INGENIERÍA,,,,,,,,,,,nningenieria@outlook.com,,,,,San Lorenzo,"Parque Industrial San Lorenzo, RP 25 y Autopista Rosario–Santa Fe (lote no publicado)",https://pisanlorenzo.com/empresas,Parque: instalada o en proceso de radicación; confirmar estado y lote,Sin correo público
Nibbler SRL,,,,,,,,,,,ventas@nibbler.com.ar,,,,,Pérez,"Parque Industrial San Lorenzo, lote 102, San Lorenzo",https://pisanlorenzo.com/empresas | https://www.ingenieriaboggio.com.ar/contactus,Parque: instalada o en proceso de radicación; confirmar estado y lote; correo público verificado,Contacto sede San Lorenzo
NEQUEN SAN LORENZO,,,,,,,,,,,Jeronimo.martinezbo@nequensa.com.ar,,,,,San Lorenzo,"Parque Industrial San Lorenzo, RP 25 y Autopista Rosario–Santa Fe (lote no publicado)",https://pisanlorenzo.com/empresas,Parque: instalada o en proceso de radicación; confirmar estado y lote,Sin correo público
Neoris,1,NO,,,,,,,,,,,,,,,"Parque Industrial San Lorenzo, RP 25 y Autopista Rosario–Santa Fe (lote no publicado)",https://pisanlorenzo.com/empresas,Parque: instalada o en proceso de radicación; confirmar estado y lote,Sin correo público
NEHCON CONSTRUCCIONES S.R.L.,,,,,,,,,,,nehconconstruccionessrl@gmail.com,,,,,Rosario,"Parque Industrial San Lorenzo, RP 25 y Autopista Rosario–Santa Fe (lote no publicado)",https://pisanlorenzo.com/empresas,Parque: instalada o en proceso de radicación; confirmar estado y lote,Sin correo público
MUNDO CONSTRUCCIONES ,1,SI,NO,,,,,,,,maidana@mundo-sa.com.ar,,,,VIENE A LA CARCEL DE PINEIRO,,"Parque Industrial San Lorenzo, RP 25 y Autopista Rosario–Santa Fe (lote no publicado)",https://pisanlorenzo.com/empresas,Parque: instalada o en proceso de radicación; confirmar estado y lote,Sin correo público
MTR S.A. Logística Portuaria,,,,,,,,,,,consultas@mtr-sa.com.ar,,,,,Ramallo / COMIRSA,"Parque Industrial San Lorenzo, RP 25 y Autopista Rosario–Santa Fe (lote no publicado)",https://pisanlorenzo.com/empresas,Parque: instalada o en proceso de radicación; confirmar estado y lote,Sin correo público
MS VINILOS,,,,,,,,,,,msvinilosdeco@gmail.com,,,,,San Lorenzo,"Parque Industrial San Lorenzo, RP 25 y Autopista Rosario–Santa Fe (lote no publicado)",https://pisanlorenzo.com/empresas,Parque: instalada o en proceso de radicación; confirmar estado y lote,Sin correo público
MRT TRANSPORTE,,,,,,,,,,,mrtsanlorenzo@grupoberaldi.com,,,,,Puerto Gral. San Martín,"Parque Industrial San Lorenzo, RP 25 y Autopista Rosario–Santa Fe (lote no publicado)",https://pisanlorenzo.com/empresas,Parque: instalada o en proceso de radicación; confirmar estado y lote,Sin correo público
MoviPort S.A.,,,,,,,,,,,rrhh@moviportsa.com.ar,,,,,San Nicolás,"España 550, San Lorenzo",https://pisanlorenzo.com/empresas | https://www.petro-quimica.com.ar/distribucion-digital/404/revista_petroquimica_edicion_404.pdf,Parque: instalada o en proceso de radicación; confirmar estado y lote; correo público verificado,Contacto general
Morelli,,,,,,,,,,,melisa@morelli.com.ar,,,,,Pérez,"Parque Industrial San Lorenzo, RP 25 y Autopista Rosario–Santa Fe (lote no publicado)",https://pisanlorenzo.com/empresas | https://mongesa.com.ar/contacto/,Parque: instalada o en proceso de radicación; confirmar estado y lote; correo público verificado,RR.HH.
MONTARFE,,,,,,,,,,,ventas@montarfesrl.com.ar,,,,,Puerto General San Martín,"San Juan 323, San Lorenzo",https://pisanlorenzo.com/empresas | https://oilcontrol.com.ar/website/contacto,Parque: instalada o en proceso de radicación; confirmar estado y lote; correo público verificado,Contacto general
MONGE CONSTRUCCIONES S.A.,,,,,,,,,,,rrhh@mongesa.com.ar,,,,,San Lorenzo,"Parque Industrial San Lorenzo, RP 25 y Autopista Rosario–Santa Fe (lote no publicado)",https://pisanlorenzo.com/empresas,Parque: instalada o en proceso de radicación; confirmar estado y lote,Sin correo público
Molinos Agro,,,,,,,,,,,sustentabilidad@molinosagro.com.ar,,,,,San Lorenzo,"Parque Industrial San Lorenzo, RP 25 y Autopista Rosario–Santa Fe (lote no publicado)",https://pisanlorenzo.com/empresas,Parque: instalada o en proceso de radicación; confirmar estado y lote,Sin correo público
MOLINO CAÑUELAS,1,NO,,,,,,,,,,,,,,,"Parque Industrial San Lorenzo, RP 25 y Autopista Rosario–Santa Fe (lote no publicado)",https://pisanlorenzo.com/empresas,Parque: instalada o en proceso de radicación; confirmar estado y lote,Sin correo público
MN INGENIERIA Y SOLUCIONES S.A.S.,,,,,,,,,,,luis.montaoo@mningenieria.com.ar,,,,,Rosario,"Parque Industrial San Lorenzo, RP 25 y Autopista Rosario–Santa Fe (lote no publicado)",https://pisanlorenzo.com/empresas,Parque: instalada o en proceso de radicación; confirmar estado y lote,Sin correo público
MINIELLO & CIA,,,,,,,,,,,administracion@minielloycia.com,,,,,San Lorenzo,Ruta AO12 y Z. Martínez – San Lorenzo,https://www.camara-sl.org.ar/website/categoriaasociado/empresa-pyme/page/5/,Directorio Cámara San Lorenzo; tamaño a validar,Contacto general
MILICIC,1,SI,,ENVIADO,NO,VIANDAS,NADIE,,09/09,,,,,,VIANDA,,"Parque Industrial San Lorenzo, RP 25 y Autopista Rosario–Santa Fe (lote no publicado)",https://pisanlorenzo.com/empresas,Parque: instalada o en proceso de radicación; confirmar estado y lote,Sin correo público
Metalúrgica Industrial S.A. (MISA),,,,,,,,,,,alberico@misa.com.ar,,,,,Ramallo / COMIRSA,"Parque Industrial San Lorenzo, RP 25 y Autopista Rosario–Santa Fe (lote no publicado)",https://pisanlorenzo.com/empresas,Parque: instalada o en proceso de radicación; confirmar estado y lote,Sin correo público
Metalsur,1,NO,,,,,,,,,,,,,,,"Parque Industrial San Lorenzo, RP 25 y Autopista Rosario–Santa Fe (lote no publicado)",https://pisanlorenzo.com/empresas,Parque: instalada o en proceso de radicación; confirmar estado y lote,Sin correo público
METALIZA S.A.,,,,,,,,,,,info@metaliza.com.ar,,,,,San Lorenzo,"Parque Industrial San Lorenzo, RP 25 y Autopista Rosario–Santa Fe (lote no publicado)",https://pisanlorenzo.com/empresas,Parque: instalada o en proceso de radicación; confirmar estado y lote,Sin correo público
MERCONOR S.R.L.,,,,,,,,,,,,,,,,San Lorenzo,"Parque Industrial San Lorenzo, RP 25 y Autopista Rosario–Santa Fe (lote no publicado)",https://pisanlorenzo.com/empresas,Parque: instalada o en proceso de radicación; confirmar estado y lote,Sin correo público
Mercator SA,,,,,,,,,,,mercator@mercator.com.ar,,,,,Pérez,"Parque Industrial San Lorenzo, RP 25 y Autopista Rosario–Santa Fe (lote no publicado)",https://pisanlorenzo.com/empresas,Parque: instalada o en proceso de radicación; confirmar estado y lote,Sin correo público
MEFA INGENIERÍA,,,,,,,,,,,administracion@mefaingenieria.com.ar,,,,,San Lorenzo,"Parque Industrial San Lorenzo, RP 25 y Autopista Rosario–Santa Fe (lote no publicado)",https://pisanlorenzo.com/empresas,Parque: instalada o en proceso de radicación; confirmar estado y lote,Sin correo público
MECALL S.R.L.,,,,,,,,,,,administracion@mecallsrl.com.ar,,,,,Rosario,"Parque Industrial San Lorenzo, RP 25 y Autopista Rosario–Santa Fe (lote no publicado)",https://pisanlorenzo.com/empresas | https://www.solingenieria.com.ar/contacto,Parque: instalada o en proceso de radicación; confirmar estado y lote; correo público verificado,Contacto general
Mastergom,,,,,,,,,,,cauchos@mastergom.com.ar,,,,,Pérez,"Parque Industrial San Lorenzo, RP 25 y Autopista Rosario–Santa Fe (lote no publicado)",https://pisanlorenzo.com/empresas,Parque: instalada o en proceso de radicación; confirmar estado y lote,Sin correo público
MARIGO PERFORACIONES,,,,,,,,,,,ventas@marigo.com.ar,,,,,San Lorenzo,"Parque Industrial San Lorenzo, RP 25 y Autopista Rosario–Santa Fe (lote no publicado)",https://pisanlorenzo.com/empresas,Parque: instalada o en proceso de radicación; confirmar estado y lote,Sin correo público
