ESTADO,ID_EMPRESA,EMPRESA,MAIL,MOTIVO
GENERICO,EMP-0191,GRUPO AMZ,amzrescate@gmail.com,casilla gmail
OK,EMP-0192,GRIMACO S.R.L.,eduardoraffo@grimaco.com.ar,mail de contacto confirmado a mano
OK,EMP-0193,GREEN LAB,hola@greenlab.com.ar,dominio coincide
OK,EMP-0194,GRAMMATICO SERVICIOS,info@grammatico.com.ar,dominio coincide
GENERICO,EMP-0196,GLOBAL ACCELERATOR S.R.L.,acceleratorglobal@gmail.com,casilla gmail
OK,EMP-0198,Gerdau — Planta Pérez,gerdauventas@gerdau.com,dominio coincide
OK,EMP-0199,GENTE DE RÍO SERVICIOS FLUVIALES,ops@gentederio.com.ar,dominio coincide
OK,EMP-0200,Gemplast / Geminelli S.A.,info@gemplast.com.ar,dominio coincide
OK,EMP-0201,GEK EXCAVACIONES,contacto@gekexcavaciones.com.ar,dominio coincide
OK,EMP-0203,FUNDEMAP,rrhh@fundemap.com.ar,dominio coincide
OK,EMP-0204,FUGRAN,rr.hh@fugran.com,dominio coincide
GENERICO,EMP-0205,Freschi,gpfreschi@yahoo.com.ar,casilla yahoo
OK,EMP-0206,Freplast SRL,ventas@freplast.com.ar,dominio coincide
OK,EMP-0207,Fremec,ventas@fremec.com.ar,dominio coincide
OK,EMP-0208,FREIJE Y FREIJE CONSTRUCTORA,proveedoresfreije@freijeyfreijeconstructorasrl.com,dominio coincide
GENERICO,EMP-0209,FRANCAR,francar.productosindustriales@gmail.com,casilla gmail
GENERICO,EMP-0210,FRANBE S.A.,memiliasanti@hotmail.com,casilla hotmail
OK,EMP-0211,FLEXIO,personal@flexio.com.ar,dominio coincide
OK,EMP-0213,FEGA S.A.,patriciaamorelli@hotmail.com,mail de contacto confirmado a mano
OK,EMP-0214,Facar,ventas@facar.com.ar,dominio coincide
GENERICO,EMP-0215,FAC Servicios Industriales,facserviciosind@gmail.com,casilla gmail
GENERICO,EMP-0216,EYCOM Servicios,eycomservicios@gmail.com,casilla gmail
OK,EMP-0218,EVONIK,matias.gonzalez@evonik.com,dominio coincide
GENERICO,EMP-0219,ESTUDIO JURÌDICO BARRINAT,estudiobarrinataux@gmail.com,casilla gmail
GENERICO,EMP-0220,ESSENTY,veronicatamagno@gmail.com,casilla gmail
OK,EMP-0221,EQUIPAMIENTO SAN LORENZO,ventas@equipamientosanlorenzo.com,dominio coincide
OK,EMP-0224,ELECTRO CONSTRUCTORA S.R.L.,federico@electroconstructorasrl.com.ar,dominio coincide
OK,EMP-0225,EL LIBERTADOR,operaciones@ellibertador.net,dominio coincide
REVISAR,EMP-0226,EL HAUAR,p_mayotto@elahuar.com,"dominio ""elahuar.com"" no coincide con el nombre"
OK,EMP-0227,EDILIZIA S.A.,administracion@edilizia.com.ar,dominio coincide
OK,EMP-0229,ECOAIRES,marcos@ecoaires.com.ar,dominio coincide
OK,EMP-0232,DUAMAK S.A.,md@duamak.com.ar,mail de contacto confirmado a mano
OK,EMP-0233,Droguería 20 de Junio,info@drogueria20dejunio.com.ar,dominio coincide
OK,EMP-0236,Detexa SRL,detexaros@detexasrl.com.ar,dominio coincide
GENERICO,EMP-0237,DEROSARIO SERVICIOS S.R.L.,derosarioservicios@hotmail.com,casilla hotmail
GENERICO,EMP-0238,DEPROP S.R.L.,depropsrl@gmail.com,casilla gmail
OK,EMP-0239,Delta Vial,info@deltavial.com.ar,dominio coincide
OK,EMP-0240,DEL SOL CONSTRUCTORA S.A.,delsol@delsol.com.ar,dominio coincide
OK,EMP-0241,DATAWISE,diego.garcia@datawise.com.ar,mail de contacto confirmado a mano
REVISAR,EMP-0243,CVO,compras@cvosa.com.ar,"dominio ""cvosa.com.ar"" no coincide con el nombre"
OK,EMP-0244,Cuarepoti,cuarepoti@cuarepoti.com.ar,dominio coincide
OK,EMP-0245,Crystal Rock SA,contacto@crystalrock.com.ar,dominio coincide
GENERICO,EMP-0247,CREAR SOLUCIONES Y SERVICIOS,crearsolucionesyservicios@gmail.com,casilla gmail
GENERICO,EMP-0248,CRAVER’S TOURS,craverogabriel@hotmail.com,casilla hotmail
GENERICO,EMP-0249,CRABSA S.A.,crabsa@fibertel.com.ar,casilla fibertel
GENERICO,EMP-0250,COTRASER LTDA.,cotralyfltda@hotmail.com,casilla hotmail
OK,EMP-0251,CORTEVA AGRISCIENCE,infoargentina@corteva.com,dominio coincide
OK,EMP-0252,CORREO ANDREANI,gconesa@andreani.com,mail de contacto confirmado a mano
OK,EMP-0253,Cormetal S.A.,cormetal@cormetalsa.com.ar,dominio coincide
OK,EMP-0254,CONYLOG S.R.L.,ctimoszuk@conylog.com.ar,mail de contacto confirmado a mano
OK,EMP-0255,CONSULTORES DE EMPRESAS,info@consultoresdeempresas.com,dominio coincide
OK,EMP-0257,CONSTRUCCIONES Y SERVICIOS AMERICA S.A.,luciano@americaconstrucciones.com,dominio coincide
REVISAR,EMP-0258,CONSTRUCCIONES TRES S.R.L.,construccionestres@c3srl.com.ar,"dominio ""c3srl.com.ar"" no coincide con el nombre"
REVISAR,EMP-0260,CONSTRUCCIONES CIC S.A.,cicsa@cicsaingenieria.com,"dominio ""cicsaingenieria.com"" no coincide con el nombre"
OK,EMP-0261,Consorcio de Gestión del Puerto de San Nicolás,rrhh@puertosannicolas.com,dominio coincide
OK,EMP-0262,CONHORMAQ S.R.L.,marcelogaspari@conhormaq.com.ar,mail de contacto confirmado a mano
OK,EMP-0263,CONEXYS S.R.L.,administracion@conexys.com.ar,dominio coincide
OK,EMP-0264,Condor Group,condor@condorgroup.com.ar,dominio coincide
OK,EMP-0265,Colvinil,info@colvinil.com.ar,dominio coincide
OK,EMP-0267,COFCO INTERNATIONAL,info@cofcointernational.com,dominio coincide
OK,EMP-0268,COCIVIAL S.A.,cocivial@cocivial.com.ar,dominio coincide
GENERICO,EMP-0269,CLOROMIL,movilclormil@gmail.com,casilla gmail
OK,EMP-0270,CISB,info@cisb.com.ar,dominio coincide
OK,EMP-0271,CIA. ROSARINA DE DESOBSTRUCCIONES S.R.L.,estelacoria1@hotmail.com,mail de contacto confirmado a mano
OK,EMP-0272,CHL INGENIERIA Y CONSTRUCCIONES S.R.L.,gerencia@chlingenieria.com.ar,dominio coincide
OK,EMP-0273,Chiaza Servicios Industriales,empleos@chiaza.com.ar,dominio coincide
OK,EMP-0277,CELOTTO CONSTRUCCIONES S.R.L.,celotto@celotto.com.ar,dominio coincide
GENERICO,EMP-0278,CEDUE S.A.,ceduesa@gmail.com,casilla gmail
OK,EMP-0279,CEDIMET,ventas@cedimet.com.ar,dominio coincide
OK,EMP-0281,Cartopel,cartopel@cartopel.com.ar,dominio coincide
OK,EMP-0283,carlini hnos,compras2@carlinihnos.com.ar,dominio coincide
OK,EMP-0285,CAPSI,info@capsisrl.com.ar,dominio coincide
GENERICO,EMP-0286,CAPAZE S.R.L.,capazesrl@gmail.com,casilla gmail
REVISAR,EMP-0287,CALIDAD ASEGURADA EN AGUAS S.A.,ingenierosaravia@sdingenieria.com.ar,"dominio ""sdingenieria.com.ar"" no coincide con el nombre"
OK,EMP-0288,CAI,info@cai.com.ar,dominio coincide
REVISAR,EMP-0289,C.P.Q.,contacto@cpqsrl.com.ar,"dominio ""cpqsrl.com.ar"" no coincide con el nombre"
REVISAR,EMP-0290,BUNGE PLANTA,silvia.garello@bunge.com,mail repetido en 2 cuentas
REVISAR,EMP-0291,BUNGE NORDLINK,silvia.garello@bunge.com,mail repetido en 2 cuentas
OK,EMP-0292,BRUMONT S.A.,pmontaldo@brumont.com.ar,mail de contacto confirmado a mano
OK,EMP-0293,BRIMAX,info@brimaxargentina.com.ar,dominio coincide
REVISAR,EMP-0294,BRICKET,VENTAS@briket.com.ar,"dominio ""briket.com.ar"" no coincide con el nombre"
REVISAR,EMP-0295,BRAJKOVIC S.A.I.,obras@brayco.com.ar,mail repetido en 2 cuentas
OK,EMP-0296,BORDO ARQUITECTURA S.R.L.,nblanco@bordoarquitectura.com,mail de contacto confirmado a mano
OK,EMP-0297,BOERO,apistoni@carlosboero.com.ar,mail de contacto confirmado a mano
OK,EMP-0298,Bioxen,info@bioxen.com.ar,dominio coincide
REVISAR,EMP-0300,BG PUERTO DE CABOTAJE,bg@guarderianauticabg.com.ar,"dominio ""guarderianauticabg.com.ar"" no coincide con el nombre"
OK,EMP-0303,BAGLIETTO,gabriela@bagliettoestructuras.com,dominio coincide
OK,EMP-0304,AVIGLIANO,tecnica@aviglianosa.com.ar,dominio coincide
GENERICO,EMP-0309,ARMANDO S.R.L.,carosilvina@hotmail.com,casilla hotmail
OK,EMP-0312,arenera alzua,matias@arenasalzua.com.ar,mail de contacto confirmado a mano
OK,EMP-0313,ARAUCO ARGENTINA,info@araucoargentina.com,dominio coincide
GENERICO,EMP-0314,ANTONINO MILISENDA S.A.,antoninomilisendasa@gmail.com,casilla gmail
OK,EMP-0315,Amichem SRL,ventas@amichem.com.ar,dominio coincide
REVISAR,EMP-0316,ALUMINIOS Y VIDRIOS GROUP S.R.L.,pabloalacano@ayvroup.com.ar,"dominio ""ayvroup.com.ar"" no coincide con el nombre"
OK,EMP-0317,ALÌ ABOGADOS,contacto@aliabogados.com.ar,dominio coincide
GENERICO,EMP-0318,ALDANA AISLACIONES,aislacionesaldana@hotmail.com.ar,casilla hotmail
OK,EMP-0319,Alborada SRL,recepcion@alboradasrl.com.ar,dominio coincide
GENERICO,EMP-0320,AL SERVICIO S.R.L.,alserviciosrl@hotmail.com,casilla hotmail
REVISAR,EMP-0321,AIN SERVICIOS S.R.L.,administracion@automatismosind.com.ar,"dominio ""automatismosind.com.ar"" no coincide con el nombre"
OK,EMP-0322,AES Argentina — Central San Nicolás,rrii@aes.com,dominio coincide
OK,EMP-0323,AERCOM,info@aercom.com.ar,dominio coincide
OK,EMP-0325,ADOBE CONSTRUCCIONES S.R.L.,administracion@adobeconstrucciones.com.ar,dominio coincide
OK,EMP-0326,ADIENT,maria.sciascia@adient.com,dominio coincide
OK,EMP-0327,ACEITERA GENERAL DEHEZA,gdeheza@agd.com.ar,dominio coincide
OK,EMP-0330,AC Arquitectura e Ingeniería,consultas@ac.com.ar,dominio coincide
OK,EMP-0332,A3 SERVICIOS CONSTRUCTIVOS,contacto@A3.com.ar,dominio coincide
OK,EMP-0333,+BRAND,contacto@masbrandcomunicacion.com,dominio coincide
OK,EMP-0350,Air Liquide Argentina,florencia.rusch@airliquide.com,mail de contacto confirmado a mano
